Lisboa;Torre de Belém;Mosteiro dos Jerónimos;Castelo de São Jorge;112483;194793;
Vila Nova de Gaia;Real Comapnhia Velha;Porto Augusto's;Miradouro da Serra do Pilar;158902;462323;
Porto;Ponte Luís I;Torre dos Clérigos;Livraria Lello;159025;465955;
Évora;Capela dos Ossos;Templo Romano de Evora;Sé Catedral de Évora;219597;177050;
Beja;Castelo de Beja;Museu RAinha D Leonor;Ruínas Romanas de Pisões;224066;117126;
Faro;Ria Formosa;Ilha da Barreta;Ilha de Tavira;217209;5897;
Leiria;Castelo de Leiria;Rio Lis;Sé de Leiria;142030;308642;
Braga;Bom Jesus do Monte;Sé de Braga;Parque Nacional da Peneda;
Amadora;Palácio Nacional de Queluz;Parque florestal de Monsanto;kidZania;
Coimbra;Sé Velha;Portugal do Pequenitos;Igreja de Santa Cruz;
Setúbal;Parque natural da Arrábida;Serra da Arrábida;Praia de Galapinhos;
Funchal;Jardim Botanico da Madeira;Mercado dos lavradores;Parque de Santa Catarina;
Almada;Santuario nacional de Cristo Rei; Ponte 25 de Abril;Fragata D Fernando II;
Cacém;Palácio Nacional da Pena;Cabo da Roca;Castelo dos Mouros;
Queluz;Palácio Nacional de Queluz;Fabrica da Pólvora;Matinha de Queluz;
Viseu;Sé de Viseu;Museu de Grão Vasco;Praia de Mangualde;
Barreiro;Cais das Colunas;Ponta dos Corvos;Quinta da Fidalga;
Odivelas;Museu Nacional do Traje;Mosteiro de São Dinis;Museu Nacional do Teatro e da Dança;
Aveiro;Costa Nova do Prado;Praia da Barra;Farol de Aveiro;
Rio Tinto;Igreja matriz;Nucleo de Fundevila;Parque Urbano dos Amores;
